Name,AAV,catcher,Age,WAR_2_sum,wRC+,xSLG,wOBA_2,xSLG_2,HR_2_sum,R_2_sum,RBI_2_sum,WPA_2_sum,Off_2_sum
Shohei Ohtani,35.12280702,False,29,10.151636463364525,179.58365877757024,0.638,0.3696245233888275,0.549,78,192,190,6.240769386291504,89.39589580153529
Cody Bellinger,26.66666667,False,28,5.780272472003218,134.2838428649415,0.434,0.2840438552336259,0.354,45,165,165,1.1379586458206177,18.27222849840056
Teoscar Hernandez,23.5,False,31,4.7224643750164175,104.70541201675069,0.476,0.3477533647947222,0.501,51,141,170,-0.38811713457107544,17.9410327796872
Matt Chapman,18.0,False,31,6.931136106892599,110.04328643945324,0.457,0.3307340100888283,0.44,44,149,130,-1.107047125697136,19.770645291259203
Rhys Hoskins,17.0,False,31,4.732509754275641,122.32801732511328,0.445,0.3451719399536064,0.445,30,81,79,2.942371368408203,29.668725824445644
Jeimer Candelario,15.0,False,30,3.0832282026302353,116.9956835226221,0.407,0.2771916829465284,0.379,35,126,120,0.737280666828156,-0.7379311640372581
Jorge Soler,14.0,False,32,2.3525645410578786,126.47221958841956,0.532,0.3048477006193839,0.421,49,109,109,1.2255620956420896,13.081701841913905
Lourdes Gurriel Jr.,14.0,False,30,3.595981998250101,105.69488667896208,0.439,0.3266683974722495,0.4,29,117,134,0.432600475847721,9.479559655437182
Justin Turner,13.0,False,39,3.3559215911580695,114.44535169097534,0.444,0.3427699371021795,0.427,36,147,177,3.580430269241333,16.076544987009807
Joc Pederson,12.5,False,32,3.2031152784945984,110.7119206497869,0.481,0.3732042316780534,0.502,38,116,121,4.357508182525635,28.72451875429734
J.D. Martinez,12.0,False,36,3.86187039345703,135.11857513009645,0.553,0.3429882992999722,0.471,49,137,165,1.192612648010254,29.838720057053198
Mitch Garver,12.0,True,33,2.1960539812165,138.01941335321527,0.493,0.3082632918690526,0.405,29,68,74,1.426215972751379,12.647772982767503
