Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
A.J. Ellis,- - -,2016,0.251798561,0.266314966,64.17893831,-9.837141317,1.206890434,-1.190224544,-0.245835531,-8.478028249,-0.500000015,-0.293302119,0.734223008,0.02777778,0.33333333,0.242,0.365,A.J. Ellis,5677,454560
A.J. Pierzynski,ATL,2016,0.237442922,0.2355752,40.85405113,-19.0172255,-7.448796511,-0.150717607,-1.865176847,-17.64122148,-0.599999905,-2.106391907,-0.260211639,0.00904977,0.33936652,0.247,0.346,A.J. Pierzynski,746,150229
Aaron Altherr,PHI,2016,0.288,0.26974704,63.94633885,-10.34951709,-0.251102567,-0.269947584,-0.346628151,-9.060830986,-0.400000036,-0.843380034,-0.3720041,0.03100775,0.34883721,0.214,0.312,Aaron Altherr,11270,571437
Aaron Hicks,NYY,2016,0.248031496,0.269931907,63.75525116,-15.14997744,-0.995595217,0.559659473,-0.399195176,-14.35444655,0.899999954,-1.42708993,-0.097088669,0.03802281,0.34980989,0.232,0.359,Aaron Hicks,5297,543305
Aaron Hill,- - -,2016,0.284345047,0.31253896,89.86825064,-6.330888487,0.464951187,-1.19258355,0.82386566,-2.076190578,1.399999917,-0.036869973,0.394080855,0.01226994,0.26380368,0.262,0.365,Aaron Hill,6104,431094
Aaron Judge,NYY,2016,0.282051282,0.267216621,61.88912719,-4.677277615,1.249361992,-0.330310532,-0.021098325,-3.990338039,-0.100000001,-0.20206362,0.122417916,0.11627907,0.58139535,0.184,0.366,Aaron Judge,15640,592450
Abraham Almonte,CLE,2016,0.330985915,0.294400928,77.82741669,-3.65703743,1.825175047,1.507505319,0.485462286,-3.796993046,0.099999994,-0.587027729,-0.701195957,0.05594406,0.39160839,0.242,0.368,Abraham Almonte,5486,501659
Adalberto Mondesi,KCR,2016,0.270588235,0.225561829,33.10605715,-10.09072156,-0.199628532,1.876323172,-0.535624959,-11.3799446,0.899999976,-0.206100106,0.372300094,0.05376344,0.2688172,0.169,0.277,Adalberto Mondesi,13769,609275
Adam Duvall,CIN,2016,0.275482093,0.332834264,103.8088155,2.362142472,0.370858192,-0.489928073,2.254736749,7.382068848,0.600000024,1.608955264,0.671704068,0.11335013,0.41057935,0.247,0.491,Adam Duvall,10950,594807
Adam Eaton,CHW,2016,0.328600405,0.343610647,117.0628855,17.51061955,19.48116684,3.047198545,6.231485553,14.84987076,2.199999809,1.135457873,-0.060235065,0.02723735,0.35603113,0.268,0.397,Adam Eaton,11205,594809
