Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,BABIP_2,wOBA_2,wRC+_2,Off_2,Def_2,BsR_2,WAR_2,wRAA_2,UBR_2,WPA_2,Clutch_2,Barrel%_2,HardHit%_2,xBA_2,xSLG_2
"Shohei Ohtani",35.122807019999996,False,2024,29,False,135,599,44,102,95,0.303822937,0.412457912,0.653923541,9,151,1.066381453,19755,157,666,34,90,95,0.273037542,0.355855855,0.518771331,6,160,0.874627186,76.92307692307693,55.00000000000001,0.341853035,0.43348226798974615,179.58365877757024,59.58508460395061,-14.475308418273926,2.465728615410626,6.544467207727819,57.26284707788401,1.6999999284744263,4.1307291984558105,-2.0806081815567534,0.19337017,0.53314917,0.295,0.638,0.319796954,0.3696245233888275,142.00037590084693,29.81081119758468,-16.41975212097168,-1.6662914040498435,3.6071692556367054,31.681485989796183,0.20000004768371582,2.1100401878356934,-0.41086731727638837,0.1682243,0.49766355,0.275,0.549
"Cody Bellinger",26.66666667,False,2024,28,True,130,556,26,95,97,0.306613226,0.356115107,0.5250501,7,153,0.881165207,15998,144,550,19,70,68,0.21031746,0.265454545,0.388888888,7,106,0.654343433,76.92307692307693,82.35294117647058,0.319095477,0.3702150516441028,134.2838428649415,26.061511943765034,-1.861250638961792,2.4467949415557086,4.290410222522923,23.93784206658234,1.4999999403953552,2.464653491973877,-0.691418010548674,0.06132075,0.31367925,0.268,0.434,0.255131964,0.2840438552336259,83.4383382775689,-7.789283445364477,3.1370965242385864,2.793818146456033,1.4898622494802944,-11.230229220146926,2.7000001668930054,-1.3266948461532593,-0.43658926133034504,0.08333333,0.38055556,0.213,0.354
"Teoscar Hernandez",23.5,False,2024,31,False,160,678,26,70,93,0.2576,0.305309734,0.4352,6,161,0.740509734,13066,131,535,25,71,77,0.266533066,0.31588785,0.490981963,18,133,0.806869813,77.77777777777779,66.66666666666666,0.341772151,0.31650540761693696,104.70541201675067,-0.5657684353614796,-4.590352535247803,-4.388377888128161,1.8019479814464976,-1.0525618062789193,-4.099999904632568,-1.30979585647583,-1.6143934938823512,0.13776722,0.49406176,0.258,0.476,0.335403726,0.34775336479472224,129.8727008752111,18.50680121504868,-7.531945824623108,0.5224152114242315,2.92051639356992,16.15408661873246,0.20000004768371582,0.9216787219047546,0.5309589793041853,0.14985591,0.52737752,0.265,0.501
"Matt Chapman",18,False,2024,31,False,140,581,17,66,54,0.239685658,0.330464716,0.424361493,4,122,0.754826209,16505,155,621,27,83,76,0.228624535,0.323671497,0.433085501,7,123,0.756756998,66.66666666666666,50,0.319148936,0.3283698886632919,110.04328643945323,6.249286519605984,4.328284502029419,-0.7424420486204326,3.0395125033922823,4.822915212959368,1.2999999523162842,-1.2663236856460571,-1.7029564361357905,0.17052023,0.56069364,0.23,0.457,0.277456647,0.3307340100888283,117.85739371358623,13.52135877165322,3.995378017425537,1.042438291478902,3.891623603500317,10.354404745561377,2.1999999284744263,0.1592765599489212,-0.6518135836584315,0.12868633,0.50670241,0.234,0.44
"Rhys Hoskins",17,False,2024,31,False,0,0,0,0,0,0,0,0,0,0,0,16472,156,672,30,81,79,0.246,0.332,0.462,12,145,0.794,0,66.66666666666666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.291878172,0.34517193995360645,122.32801732511328,14.834362912222822,-15.319127559661865,-2.5983829656615853,2.3662548771378207,18.912617866180916,-2.5999998077750206,1.4711856842041016,-0.3520389001412858,0.11058824,0.44235294,0.239,0.445
"Jeimer Candelario",15,False,2024,30,False,140,576,22,77,70,0.251485148,0.335652173,0.471287128,11,127,0.806939301,13621,124,467,13,49,50,0.216783216,0.271948608,0.361305361,9,93,0.633253969,88.88888888888889,0,0.291666666,0.3458680212497711,116.9956835226221,11.993769790316247,0.03659868240356445,-0.13396180421113968,3.1443848335300264,13.163306842828415,1.0999999642372131,2.1002338528633118,1.086930353852563,0.07832898,0.36292428,0.236,0.407,0.257234726,0.27719168294652846,78.37216297561466,-12.731700954353506,-2.5508320927619934,-1.365971552208066,-0.06115663089979105,-12.077653761347825,-1.4999999701976776,-1.3629531860351562,0.013598039868477185,0.08333333,0.33950617,0.228,0.379
"Jorge Soler",14,False,2024,32,False,137,580,36,77,75,0.25,0.34137931,0.511904761,20,126,0.853284071,14221,72,306,13,32,34,0.207407407,0.295081967,0.4,9,56,0.695081967,100,0,0.271903323,0.36067214980721474,126.47221958841955,16.186343367641324,-16.635913372039795,-2.834808283485472,1.9134217300458671,20.374382574541027,-0.7000000476837158,3.033890962600708,1.543474362973913,0.14986376,0.47956403,0.262,0.532,0.25595238,0.3048477006193839,94.8329848021791,-3.1046415257274207,-3.195817232131958,-1.2676483993418515,0.4391428110120117,-1.1907276047400233,0.6000000238418579,-1.8083288669586182,-1.3144080129030125,0.12087912,0.43406593,0.226,0.421
"Lourdes Gurriel Jr.",14,False,2024,30,True,145,592,24,65,82,0.261343012,0.309121621,0.462794918,20,144,0.771916539,19238,121,493,5,52,52,0.291390728,0.343495934,0.399558498,11,132,0.743054432,100,42.857142857142854,0.28169014,0.3293454382827036,105.69488667896208,4.31275882874757,-4.170699596405029,0.13613606477156281,2.0129330725262498,5.3938645280446105,-1.1000001430511475,0.05041462928056717,0.22347273251824287,0.08444444,0.46,0.264,0.439,0.346049046,0.3266683974722495,114.98715654933851,5.166800826689613,-5.608110189437866,-3.1476487955078483,1.5830489257238511,6.62783729182036,-2.200000137090683,0.38218584656715393,0.3272118473302728,0.03753351,0.45308311,0.273,0.4
"Justin Turner",13,False,2024,39,False,146,626,23,86,96,0.275985663,0.345047923,0.455197132,10,154,0.800245055,5235,128,532,13,61,81,0.277777777,0.34962406,0.438034188,13,130,0.787658248,80,100,0.303944315,0.34565746612823045,114.44535169097534,5.636592201935818,-16.52696418762207,-5.19856037478894,1.0525065400218758,14.184206659952869,-2.7999999076128006,1.6762751340866089,1.0116372643566325,0.05726872,0.38986784,0.26,0.444,0.312834224,0.3427699371021795,123.59372303637852,10.43995278507399,-6.727107286453247,-4.143302392214537,2.3034150511361937,13.957306271343702,-2.7999998927116394,1.9041551351547241,0.9754157275070399,0.08010336,0.40568475,0.267,0.427
"Joc Pederson",12.5,False,2024,32,False,121,425,15,59,51,0.234636871,0.348235294,0.416201117,12,84,0.764436411,11899,134,433,23,57,70,0.27368421,0.353348729,0.521052631,5,104,0.87440136,0,60,0.26848249,0.33089661199892906,110.7119206497869,5.7174128130341675,-12.071698904037476,0.07746955286711454,0.8012923001611647,4.419793899569919,1.2000000476837158,1.725597620010376,1.4689060498303572,0.11764706,0.52205882,0.264,0.481,0.310344827,0.3732042316780534,145.7769753124549,23.007105941263166,-14.96547794342041,-0.02222685096785426,2.401822978333434,21.82911015845197,0.5,2.631910562515259,0.5216460745213087,0.15140845,0.52112676,0.266,0.502
