Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2
Shohei Ohtani,35.12280702,FALSE,2024,29,FALSE,135,599,44,102,95,0.303822937,0.412457912,0.653923541,9,151,1.066381453,19755,157,666,34,90,95,0.273037542,0.355855855,0.518771331,6,160,0.874627186,76.92307692,55
Aaron Judge,39.76929316,FALSE,2023,31,TRUE,157,696,62,133,131,0.310526315,0.424855491,0.685964912,14,177,1.110820403,15640,148,633,39,89,98,0.287272727,0.372827804,0.543636363,16,158,0.916464167,84.21052632,85.71428571
Carlos Correa,38.50935103,FALSE,2022,27,FALSE,148,640,26,104,92,0.279279279,0.365625,0.484684684,16,155,0.850309684,14162,75,321,21,42,59,0.278571428,0.358255451,0.567857142,8,78,0.926112593,0,100
Anthony Rendon,41.5670387,FALSE,2020,30,FALSE,146,646,34,117,126,0.319266055,0.411764705,0.598165137,13,174,1.009929842,12861,136,597,24,88,92,0.308128544,0.373534338,0.534971644,5,163,0.908505982,83.33333333,66.66666667
Carlos Correa,33.14107763,FALSE,2023,28,TRUE,136,590,22,70,64,0.291187739,0.366101694,0.46743295,18,152,0.833534644,14162,148,640,26,104,92,0.279279279,0.365625,0.484684684,16,155,0.850309684,0,0
Corey Seager,35.65680651,FALSE,2022,28,FALSE,95,409,16,54,57,0.305949008,0.393643031,0.521246458,8,108,0.914889489,13624,134,541,19,82,87,0.27198364,0.334565619,0.482617586,8,133,0.817183205,50,100
Manny Machado,35.66199825,FALSE,2019,26,FALSE,162,709,37,84,107,0.297468354,0.366713681,0.537974683,26,188,0.904688364,11493,156,690,33,81,95,0.258730158,0.310144927,0.471428571,17,163,0.781573498,87.5,69.23076923
Yoenis Cespedes,32.20530813,FALSE,2017,31,TRUE,132,543,31,72,86,0.279749478,0.35359116,0.530271398,14,134,0.883862558,13110,159,676,35,101,105,0.290679304,0.328402366,0.541864139,14,184,0.870266505,75,58.33333333
Trea Turner,27.11542715,FALSE,2023,30,FALSE,160,708,21,101,100,0.297546012,0.342776203,0.466257668,9,194,0.809033871,16252,148,646,28,107,77,0.327731092,0.374613003,0.536134453,18,195,0.910747456,90,86.48648649
Freddie Freeman,29.62257772,FALSE,2022,32,FALSE,159,695,31,120,83,0.3,0.392805755,0.503333333,11,180,0.896139088,5361,158,692,38,113,121,0.29480737,0.388728323,0.549413735,17,176,0.938142058,72.72727273,66.66666667
Cody Bellinger,26.66666667,FALSE,2024,28,TRUE,130,556,26,95,97,0.306613226,0.356115107,0.5250501,7,153,0.881165207,15998,144,550,19,70,68,0.21031746,0.265454545,0.388888888,7,106,0.654343433,76.92307692,82.35294118
Kris Bryant,28.52544521,FALSE,2022,30,FALSE,144,586,25,86,73,0.265107212,0.35324232,0.481481481,9,136,0.834723801,15429,147,634,31,108,77,0.281767955,0.38170347,0.521178637,10,153,0.902882107,83.33333333,100
Xander Bogaerts,25.30773201,FALSE,2023,30,FALSE,150,631,15,84,73,0.307001795,0.37717908,0.456014362,14,171,0.833193442,12161,144,603,23,90,79,0.29489603,0.369817578,0.493383742,13,156,0.86320132,80,83.33333333
Bryce Harper,30.17553698,FALSE,2019,26,FALSE,159,695,34,103,100,0.249090909,0.392805755,0.496363636,7,137,0.889169391,11579,111,492,29,95,87,0.319047619,0.412601626,0.595238095,15,134,1.007839721,81.25,66.66666667
Dansby Swanson,25.13987461,FALSE,2023,29,FALSE,162,696,25,99,96,0.2765625,0.329022988,0.446875,12,177,0.775897988,18314,160,653,27,78,88,0.248299319,0.311349693,0.448979591,7,146,0.760329284,72,75
Marcus Semien,27.4283127,FALSE,2022,31,FALSE,162,724,45,115,102,0.265337423,0.334254143,0.538343558,9,173,0.872597701,12533,162,747,33,123,92,0.284627092,0.369477911,0.522070015,11,187,0.891547926,93.75,55.55555556
Yoenis Cespedes,30.7824352,FALSE,2016,30,TRUE,159,676,35,101,105,0.290679304,0.328402366,0.541864139,14,184,0.870266505,13110,152,645,22,89,100,0.26,0.300775193,0.45,13,156,0.750775193,58.33333333,77.77777778
Teoscar Hernandez,23.5,FALSE,2024,31,FALSE,160,678,26,70,93,0.2576,0.305309734,0.4352,6,161,0.740509734,13066,131,535,25,71,77,0.266533066,0.31588785,0.490981963,18,133,0.806869813,77.77777778,66.66666667
Javier Baez,25.59975852,FALSE,2022,29,FALSE,138,547,31,80,87,0.264940239,0.318681318,0.494023904,12,133,0.812705222,12979,138,561,29,89,85,0.280602636,0.315508021,0.531073446,16,149,0.846581467,78.26086957,61.11111111
Trevor Story,25.59975852,FALSE,2022,29,FALSE,142,595,24,88,75,0.25095057,0.329411764,0.471482889,7,132,0.800894653,12564,145,656,35,111,85,0.294217687,0.362804878,0.554421768,3,173,0.917226646,76.92307692,74.19354839
Chris Davis,28.31984038,FALSE,2016,30,TRUE,160,670,47,100,117,0.261780104,0.361194029,0.561954624,6,150,0.923148653,9272,127,525,26,65,72,0.195555555,0.29961832,0.404444444,2,88,0.704062764,40,66.66666667
