Name,contract_years,salary,AAV,minor league,catcher,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Albert Pujols,1,2.5,2.5,0,0,2022,STL,LAD,42,-0.4,21,2971,0,109,296,17,29,50,2,0.047297297,0.152027027,0.236363636,0.283783783,0.432727272,14,0,65,0.716511055,1177,405395,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389
David Peralta,1,0.72,0.72,1,0,2024,CHC,LAD,36,2.2,10,1141,0,133,422,7,47,55,4,0.047393364,0.170616113,0.258883248,0.293838862,0.380710659,8,1,102,0.674549521,2136,444482,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875
David Peralta,1,6.5,6.5,0,0,2023,LAD,TBR,35,2.3,9,1008,0,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,2136,444482,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875,99,423,12,48,57,0,0.082742316,0.205673758,0.274869109,0.342789598,0.460732984,9,0,105,0.803522582
Carlos Santana,1,5.25,5.25,0,0,2024,MIN,MIL,38,3.7,14,1930,0,146,619,23,78,86,6,0.105008077,0.168012924,0.24,0.31825525,0.429090909,11,0,132,0.747346159,2396,467793,131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563
Carlos Santana,1,6.725,6.725,0,0,2023,PIT,SEA,37,2.1,13,1784,0,131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,2396,467793,158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563,158,686,34,110,93,4,0.157434402,0.157434402,0.280977312,0.396501457,0.514834205,13,0,161,0.911335662
Nelson Cruz,1,1,1,0,0,2023,SDP,WSN,42,4.4,18,2006,0,124,507,10,50,64,4,0.096646942,0.234714003,0.234375,0.313492063,0.337053571,16,0,105,0.650545634,2434,443558,140,584,32,79,86,3,0.087328767,0.215753424,0.265107212,0.334482758,0.497076023,14,0,136,0.831558781,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211
Nelson Cruz,1,15,15,0,0,2022,WSN,TBR,41,8.7,17,1882,0,140,584,32,79,86,3,0.087328767,0.215753424,0.265107212,0.334482758,0.497076023,14,0,136,0.831558781,2434,443558,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211
Manny Piña,2,8,4,0,1,2022,ATL,MIL,35,2.8,8,409,0,75,208,13,27,33,0,0.10576923,0.182692307,0.188888888,0.29326923,0.438888888,4,0,34,0.732158118,2829,444489,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567
Roberto Perez,1,0.72,0.72,1,1,2024,BOS,SFG,35,0.4,10,516,0,5,17,0,0,1,0,0.117647058,0.352941176,0.133333333,0.235294117,0.133333333,0,0,2,0.36862745,2900,547379,21,69,2,8,8,0,0.130434782,0.36231884,0.233333333,0.333333333,0.366666666,1,0,14,0.699999999,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954
Roberto Perez,1,0.72,0.72,1,1,2023,SFG,PIT,34,0.7,9,511,0,21,69,2,8,8,0,0.130434782,0.36231884,0.233333333,0.333333333,0.366666666,1,0,14,0.699999999,2900,547379,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127
Roberto Perez,1,5,5,0,1,2022,PIT,CLE,33,4.2,8,490,0,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954,2900,547379,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127
Tommy Pham,1,6,6,0,0,2023,NYM,BOS,35,1.8,9,876,0,144,622,17,89,63,8,0.090032154,0.268488745,0.236462093,0.311897106,0.373646209,20,3,131,0.685543315,2967,502054,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
Tommy Pham,1,7.5,7.5,0,0,2022,CIN,SDP,34,5.2,8,732,0,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,2967,502054,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
Robinson Chirinos,1,9,9,0,1,2022,BAL,CHC,38,3.3,10,647,0,45,112,5,13,15,0,0.080357142,0.321428571,0.226804123,0.324324324,0.453608247,2,0,22,0.777932571,3142,455139,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386
Charlie Culberson,1,0.72,0.72,1,0,2024,ATL,ATL,35,1.1,11,586,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,2,3298,518586,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695
Charlie Culberson,1,0.72,0.72,1,0,2023,TBR,TEX,34,0.9,10,585,0,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,3298,518586,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695,108,144,5,14,20,0,0.041666666,0.305555555,0.259259259,0.293706293,0.437037037,5,1,35,0.73074333
