Name,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
"Brock Holt",2022,ATL,TEX,34,1.1,10,751,0,77,260,2,21,23,5,0.088461538,0.188461538,0.208510638,0.28076923,0.29787234,5,1,49,0.57864157,9345,571788,87,295,3,38,31,1,0.094915254,0.193220338,0.297297297,0.369491525,0.401544401,4,0,77,0.771035926,87,295,3,38,31,1,0.094915254,0.193220338,0.297297297,0.369491525,0.401544401,4,0,77,0.771035926
"Phil Gosselin",2022,ATL,LAA,33,-0.7,9,463,0,104,373,7,40,47,4,0.064343163,0.217158176,0.260869565,0.313672922,0.36231884,3,2,90,0.675991762,10953,594838,44,68,0,5,7,0,0.044117647,0.235294117,0.261538461,0.294117647,0.307692307,1,0,17,0.601809954,44,68,0,5,7,0,0.044117647,0.235294117,0.261538461,0.294117647,0.307692307,1,0,17,0.601809954
"Pat Valaika",2022,ATL,BAL,29,-1.9,6,373,0,91,281,5,17,25,1,0.056939501,0.270462633,0.2007722,0.25,0.289575289,4,1,52,0.539575289,14885,642162,40,86,1,11,4,0,0.081395348,0.395348837,0.189873417,0.255813953,0.316455696,1,0,15,0.572269649,40,86,1,11,4,0,0.081395348,0.395348837,0.189873417,0.255813953,0.316455696,1,0,15,0.572269649
"Eddie Rosario",2022,ATL,ATL,30,3.8,7,808,1,111,412,14,42,62,11,0.063106796,0.148058252,0.258575197,0.304878048,0.4353562,4,3,98,0.740234248,12155,592696,137,590,32,91,109,3,0.037288135,0.145762711,0.275800711,0.3,0.5,10,1,155,0.8,137,590,32,91,109,3,0.037288135,0.145762711,0.275800711,0.3,0.5,10,1,155,0.8
"Manny Piña",2022,ATL,MIL,35,2.8,8,409,0,75,208,13,27,33,0,0.10576923,0.182692307,0.188888888,0.29326923,0.438888888,4,0,34,0.732158118,2829,444489,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567
"Chris Owings",2022,BAL,COL,30,-0.4,9,684,0,21,50,1,9,5,2,0.14,0.3,0.325581395,0.42,0.627906976,0,1,14,1.047906976,10030,572008,67,196,3,13,14,5,0.071428571,0.397959183,0.138888888,0.209183673,0.233333333,2,2,25,0.442517006,67,196,3,13,14,5,0.071428571,0.397959183,0.138888888,0.209183673,0.233333333,2,2,25,0.442517006
"Robinson Chirinos",2022,BAL,CHC,38,3.3,10,647,0,45,112,5,13,15,0,0.080357142,0.321428571,0.226804123,0.324324324,0.453608247,2,0,22,0.777932571,3142,455139,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386
"Rougned Odor",2022,BAL,NYY,28,-0.5,8,960,0,102,361,15,42,39,0,0.074792243,0.27700831,0.201863354,0.286111111,0.378881987,3,1,65,0.664993098,12282,596059,145,581,30,77,93,11,0.08950086,0.30636833,0.204980842,0.28275862,0.438697318,4,9,107,0.721455938,145,581,30,77,93,11,0.08950086,0.30636833,0.204980842,0.28275862,0.438697318,4,9,107,0.721455938
"Trevor Story",2022,BOS,COL,29,13.7,6,745,0,142,595,24,88,75,20,0.08907563,0.233613445,0.25095057,0.329411764,0.471482889,7,6,132,0.800894653,12564,596115,145,656,35,111,85,23,0.088414634,0.265243902,0.294217687,0.362804878,0.554421768,3,8,173,0.917226646,145,656,35,111,85,23,0.088414634,0.265243902,0.294217687,0.362804878,0.554421768,3,8,173,0.917226646
"Yolmer Sanchez",2022,BOS,ATL,30,1.7,7,657,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jonathan Villar",2022,CHC,NYM,31,5.9,9,973,0,142,505,18,63,42,14,0.091089108,0.261386138,0.248898678,0.322067594,0.416299559,6,7,113,0.738367153,10071,542340,162,714,24,111,73,40,0.085434173,0.246498599,0.274143302,0.338959212,0.453271028,8,9,176,0.79223024,162,714,24,111,73,40,0.085434173,0.246498599,0.274143302,0.338959212,0.453271028,8,9,176,0.79223024
"Andrelton Simmons",2022,CHC,MIN,32,3.4,10,1191,0,131,451,3,37,31,1,0.070953436,0.137472283,0.22330097,0.283482142,0.274271844,14,0,92,0.557753986,10847,592743,103,424,7,47,40,10,0.056603773,0.08726415,0.263819095,0.308962264,0.364321608,21,2,105,0.673283872,103,424,7,47,40,10,0.056603773,0.08726415,0.263819095,0.308962264,0.364321608,21,2,105,0.673283872
