Name,contract_years,salary,AAV,minor_league ,catcher ,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Evan Longoria,1,4,4,0,0,2023,ARI,SFG,37,3.1,15,1912,0,89,298,14,31,42,0,0.090604026,0.278523489,0.244360902,0.315436241,0.451127819,6,0,65,0.76656406,9368,446334,81,291,13,45,46,1,0.120274914,0.233676975,0.260869565,0.350515463,0.482213438,9,1,66,0.832728901,129,508,20,59,69,3,0.084645669,0.22047244,0.253863134,0.324803149,0.437086092,14,1,115,0.761889241
Yolmer Sanchez,1,0.72,0.72,1,0,2023,ATL,NYM,31,-0.3,8,674,0,17,44,0,1,2,0,0.113636363,0.295454545,0.108108108,0.214285714,0.108108108,0,2,4,0.322393822,11602,570560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149,555,2,59,43,5,0.079279279,0.21081081,0.252016129,0.317518248,0.320564516,7,4,125,0.638082764
Kevin Pillar,1,3,3,0,0,2023,ATL,LAD,34,1.2,10,1033,0,4,13,0,1,0,0,0.076923076,0.307692307,0.083333333,0.153846153,0.166666666,1,0,1,0.320512819,12434,607680,124,347,15,40,47,4,0.031700288,0.233429394,0.23076923,0.27665706,0.415384615,5,3,75,0.692041675,161,645,21,83,88,14,0.027906976,0.137984496,0.258592471,0.286821705,0.432078559,15,5,158,0.718900264
Ehire Adrianza,1,1,1,0,0,2023,ATL,ATL,33,0.1,10,611,1,37,110,0,8,7,1,0.1,0.227272727,0.175257731,0.263636363,0.206185567,2,0,17,0.46982193,8418,501303,109,209,5,32,28,0,0.100478468,0.200956937,0.247252747,0.326923076,0.401098901,4,0,45,0.728021977,84,236,5,34,22,0,0.084745762,0.169491525,0.272277227,0.349137931,0.415841584,2,2,55,0.764979515
Adam Frazier,1,8,8,0,0,2023,BAL,SEA,31,5.5,7,821,0,156,602,3,61,42,11,0.07641196,0.121262458,0.238447319,0.301003344,0.310536044,15,6,129,0.611539388,15223,624428,155,639,5,83,43,10,0.07511737,0.10798122,0.305025996,0.367924528,0.410745233,10,5,176,0.778669761,152,608,10,80,50,5,0.065789473,0.123355263,0.277978339,0.336092715,0.416967509,6,5,154,0.753060224
Yu Chang,1,0.72,0.72,1,0,2023,BOS,BOS,27,0.6,4,196,1,69,190,4,19,15,0,0.084210526,0.310526315,0.208333333,0.289473684,0.31547619,5,1,35,0.604949874,14773,644374,89,251,9,32,39,1,0.043824701,0.274900398,0.227848101,0.26693227,0.426160337,4,0,54,0.693092607,28,84,1,8,6,0,0.13095238,0.261904761,0.178082191,0.285714285,0.273972602,4,0,13,0.559686887
Adam Duvall,1,7,7,0,0,2023,BOS,ATL,34,3.8,9,830,0,86,315,12,39,36,0,0.066666666,0.32063492,0.212543554,0.276190476,0.400696864,2,2,61,0.67688734,10950,594807,146,555,38,67,113,5,0.063063063,0.313513513,0.228070175,0.281081081,0.49122807,7,0,117,0.772309151,41,130,10,17,19,0,0.053846153,0.3,0.266666666,0.315384615,0.566666666,0,0,32,0.882051281
Justin Turner,2,21.7,10.85,0,0,2023,BOS,LAD,38,7.2,14,1393,0,128,532,13,61,81,3,0.093984962,0.167293233,0.277777777,0.34962406,0.438034188,13,0,130,0.787658248,5235,457759,151,612,27,87,87,3,0.099673202,0.160130718,0.277673545,0.361111111,0.470919324,12,0,148,0.832030435,135,549,27,80,67,2,0.092896174,0.160291438,0.290187891,0.371584699,0.509394572,11,0,139,0.880979271
Niko Goodrum,1,0.72,0.72,1,0,2023,BOS,HOU,31,-0.2,6,402,0,15,45,0,2,1,1,0.044444444,0.511111111,0.116279069,0.155555555,0.162790697,0,0,5,0.318346252,12092,592348,90,325,9,39,33,14,0.089230769,0.329230769,0.213793103,0.292307692,0.358620689,6,5,62,0.650928381,112,472,12,61,45,12,0.097457627,0.292372881,0.24822695,0.322033898,0.420803782,7,3,105,0.74283768
Tucker Barnhart,2,6.5,3.25,0,1,2023,CHC,DET,32,0.9,9,838,0,94,308,1,16,16,0,0.081168831,0.24025974,0.220640569,0.286644951,0.266903914,7,0,62,0.553548865,10200,571466,116,388,7,41,48,0,0.074742268,0.257731958,0.247126436,0.317010309,0.367816091,8,0,86,0.6848264,114,364,11,32,40,1,0.12087912,0.228021978,0.231012658,0.327823691,0.379746835,5,0,73,0.707570526
Dansby Swanson,7,177,25.28571429,0,0,2023,CHC,ATL,29,10.5,7,827,0,162,696,25,99,96,18,0.070402298,0.261494252,0.2765625,0.329022988,0.446875,12,7,177,0.775897988,18314,621020,160,653,27,78,88,9,0.079632465,0.255742725,0.248299319,0.311349693,0.448979591,7,3,146,0.760329284,127,545,17,77,65,10,0.093577981,0.227522935,0.250517598,0.325367647,0.422360248,7,5,121,0.747727895
Cody Bellinger,1,17.5,17.5,0,0,2023,CHC,LAD,27,1.3,6,745,0,144,550,19,70,68,14,0.069090909,0.272727272,0.21031746,0.265454545,0.388888888,7,3,106,0.654343433,15998,641355,95,350,10,39,36,3,0.088571428,0.268571428,0.165079365,0.24,0.301587301,2,1,52,0.541587301,156,660,47,121,115,15,0.143939393,0.163636363,0.304659498,0.406060606,0.629032258,10,5,170,1.035092864
Elvis Andrus,1,3,3,0,0,2023,CHW,CHW,34,3.3,14,1947,1,149,577,17,66,58,18,0.067590987,0.159445407,0.24859813,0.303292894,0.403738317,11,4,133,0.707031211,8709,462101,146,541,3,60,37,12,0.057301293,0.149722735,0.243460764,0.293680297,0.319919517,14,2,121,0.613599814,147,648,12,81,72,31,0.052469135,0.148148148,0.275,0.313271604,0.393333333,16,8,165,0.706604937
Hanser Alberto,1,1.3,1.3,0,0,2023,CHW,LAD,30,1.2,7,458,0,73,159,2,13,15,0,0.018867924,0.157232704,0.243589743,0.257861635,0.365384615,7,1,38,0.62324625,11902,593643,103,255,2,25,24,3,0.015686274,0.101960784,0.269709543,0.290836653,0.402489626,1,1,65,0.693326279,139,550,12,62,51,4,0.029090909,0.09090909,0.305343511,0.329067641,0.421755725,9,4,160,0.750823366
Jake Marisnick,1,0.72,0.72,1,0,2023,CHW,ATL,32,0.7,10,831,0,31,82,2,9,6,2,0.048780487,0.292682926,0.233766233,0.271604938,0.389610389,2,1,18,0.661215327,11339,545350,99,198,5,21,24,4,0.055555555,0.328282828,0.21590909,0.285714285,0.375,4,1,38,0.660714285,120,318,10,46,34,10,0.053459119,0.298742138,0.232876712,0.288888888,0.410958904,6,3,68,0.699847792
Andrew Benintendi,5,75,15,0,0,2023,CHW,NYY,28,5.6,7,745,0,126,521,5,54,51,8,0.099808061,0.147792706,0.303687635,0.373076923,0.399132321,7,3,140,0.772209244,17901,643217,134,538,17,63,73,8,0.066914498,0.180297397,0.275862068,0.324022346,0.442190669,2,9,136,0.766213015,138,615,13,72,68,10,0.095934959,0.227642276,0.266173752,0.343137254,0.430683918,6,3,144,0.773821172
Billy Hamilton,1,0.72,0.72,1,0,2023,CHW,MIN,32,0.2,10,948,0,37,23,0,13,0,10,0.086956521,0.52173913,0.05,0.136363636,0.05,0,1,1,0.186363636,10199,571740,71,135,2,23,11,9,0.029629629,0.348148148,0.22047244,0.242424242,0.377952755,1,0,28,0.620376997,119,353,0,41,15,22,0.090651558,0.246458923,0.21835443,0.288571428,0.275316455,1,6,69,0.563887883
Victor Reyes,1,0.72,0.72,1,0,2023,CHW,DET,28,0.7,5,394,0,92,336,3,27,34,2,0.038690476,0.229166666,0.253968253,0.288690476,0.361904761,7,2,80,0.650595237,15487,622682,76,220,5,26,22,5,0.036363636,0.25,0.258373205,0.284403669,0.416267942,2,1,54,0.700671611,69,292,3,29,25,9,0.047945205,0.219178082,0.304347826,0.335616438,0.43115942,5,3,84,0.766775858
Mark Payton,1,0.72,0.72,1,0,2023,CHW,CHW,31,-0.6,3,40,1,8,25,0,3,1,0,0.16,0.16,0.142857142,0.28,0.142857142,0,0,3,0.422857142,16042,592622,24,24,0,2,0,0,0.083333333,0.291666666,0.181818181,0.25,0.181818181,0,0,4,0.431818181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chad Pinder,1,0.72,0.72,1,0,2023,CIN,OAK,31,-0.5,7,553,0,111,379,12,38,42,2,0.036939313,0.311345646,0.235457063,0.262599469,0.385041551,10,0,85,0.64764102,15191,640461,75,233,6,30,27,1,0.068669527,0.26609442,0.242990654,0.300429184,0.411214953,6,0,52,0.711644137,124,370,13,45,47,0,0.054054054,0.237837837,0.240469208,0.289972899,0.416422287,11,1,82,0.706395186
Austin Romine,1,0.72,0.72,1,1,2023,CIN,CIN,34,-1.2,11,484,1,51,136,3,10,9,0,0.029411764,0.338235294,0.155038759,0.186567164,0.248062015,2,0,20,0.434629179,5491,519222,28,62,1,5,5,0,0.032258064,0.354838709,0.216666666,0.241935483,0.3,4,0,13,0.541935483,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921
Curt Casali,1,3.25,3.25,0,1,2023,CIN,SEA,34,2.5,9,462,0,57,176,5,20,17,0,0.136363636,0.284090909,0.202702702,0.318181818,0.331081081,1,0,30,0.649262899,12510,592200,77,231,5,20,26,0,0.112554112,0.285714285,0.21,0.313043478,0.35,3,0,42,0.663043478,84,236,8,24,32,0,0.105932203,0.25,0.251207729,0.330508474,0.410628019,1,0,52,0.741136493
Wil Myers,1,7.5,7.5,0,0,2023,CIN,SDP,32,3.8,10,1063,0,77,286,7,29,41,2,0.073426573,0.3006993,0.260536398,0.314685314,0.398467432,7,1,68,0.713152746,10047,571976,146,500,17,56,63,8,0.108,0.282,0.255656108,0.334,0.43438914,9,5,113,0.76838914,155,490,18,58,53,16,0.104081632,0.342857142,0.239080459,0.321063394,0.418390804,12,7,104,0.739454198
Chuckie Robinson,1,0.72,0.72,1,1,2023,CIN,CIN,28,-0.5,1,25,1,25,60,2,3,5,0,0,0.283333333,0.13559322,0.13559322,0.27118644,5,0,8,0.40677966,19824,642020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mike Zunino,1,0.72,0.72,1,1,2023,CLE,TBR,32,2.8,10,850,0,36,123,5,7,16,0,0.048780487,0.373983739,0.147826086,0.195121951,0.304347826,2,0,17,0.499469777,13265,572287,109,375,33,64,62,0,0.090666666,0.352,0.216216216,0.301333333,0.558558558,7,0,72,0.859891891,90,289,9,30,32,0,0.069204152,0.339100346,0.165413533,0.23183391,0.312030075,4,0,44,0.543863985
Josh Bell,2,33,16.5,0,0,2023,CLE,SDP,30,5.5,7,852,0,156,647,17,78,71,0,0.125193199,0.157650695,0.266304347,0.361801242,0.422101449,22,1,147,0.783902691,13145,605137,144,568,27,75,88,0,0.114436619,0.177816901,0.261044176,0.346830985,0.475903614,22,0,130,0.822734599,143,613,37,94,116,0,0.120717781,0.192495921,0.277039848,0.367047308,0.569259962,11,1,146,0.93630727
Anthony Gose,1,0.72,0.72,1,0,2023,CLE,CLE,32,0,7,372,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5097,543238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jurickson Profar,1,7.75,7.75,0,0,2023,COL,SDP,30,4.3,9,836,0,152,658,15,82,58,5,0.110942249,0.156534954,0.24347826,0.331297709,0.391304347,12,1,140,0.722602056,10815,595777,137,412,4,47,33,10,0.118932038,0.15776699,0.226628895,0.329268292,0.320113314,12,5,80,0.649381606,139,518,20,65,67,9,0.092664092,0.144787644,0.217864923,0.301158301,0.409586056,12,1,100,0.710744357
Cesar Hernandez,1,0.72,0.72,1,0,2023,DET,WSN,33,3,10,1186,0,147,617,1,64,34,10,0.072933549,0.184764991,0.248214285,0.311074918,0.317857142,9,4,139,0.62893206,10556,514917,149,637,21,84,62,1,0.092621664,0.211930926,0.231578947,0.307692307,0.385964912,11,1,132,0.693657219,161,667,14,77,71,9,0.067466266,0.149925037,0.279411764,0.332833583,0.408496732,9,2,171,0.741330315
Michael Papierski,1,0.72,0.72,1,1,2023,DET,DET,27,-0.6,1,39,1,39,103,1,7,4,0,0.097087378,0.252427184,0.142857142,0.227722772,0.186813186,4,0,13,0.414535958,21386,657709,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brendon Davis,1,0.72,0.72,1,0,2023,DET,DET,25,-0.1,1,3,1,3,11,0,2,0,1,0.09090909,0.272727272,0.2,0.272727272,0.2,0,0,2,0.472727272,18587,663478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
