Name,contract_years,salary,AAV,minor league,catcher,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Randal Grichuk,1,2,2,0,0,2024,ARI,LAA,32,2.2,10,1141,0,118,471,16,65,44,2,0.061571125,0.203821656,0.267281105,0.320594479,0.458525345,11,2,116,0.779119824,10243,545341,141,538,19,60,73,4,0.044609665,0.236059479,0.25889328,0.299256505,0.424901185,12,0,131,0.72415769,149,545,22,59,81,0,0.049541284,0.209174311,0.2407045,0.280733944,0.422700587,17,3,123,0.703434531
Joc Pederson,1,12.5,12.5,0,0,2024,ARI,SFG,32,2.1,10,1140,0,121,425,15,59,51,0,0.134117647,0.209411764,0.234636871,0.348235294,0.416201117,12,0,84,0.764436411,11899,592626,134,433,23,57,70,3,0.09699769,0.230946882,0.27368421,0.353348729,0.521052631,5,2,104,0.87440136,137,481,18,55,61,2,0.081081081,0.243243243,0.237762237,0.309771309,0.421911421,9,3,102,0.73168273
Kevin Newman,1,0.946237,0.946237,0,0,2024,ARI,CIN,30,1.1,6,505,0,74,253,3,28,28,8,0.067193675,0.134387351,0.253333333,0.310756972,0.364444444,7,1,57,0.675201416,17696,621028,78,309,2,31,24,8,0.051779935,0.155339805,0.274305555,0.315960912,0.371527777,6,2,79,0.687488689,148,554,5,50,39,6,0.048736462,0.07400722,0.226305609,0.26459854,0.309477756,7,1,117,0.574076296
Tucker Barnhart,2,6.5,3.25,0,1,2024,ARI,LAD,33,-0.4,10,881,0,47,123,1,6,9,1,0.097560975,0.341463414,0.201834862,0.284552845,0.256880733,4,0,22,0.541433578,10200,571466,94,308,1,16,16,0,0.081168831,0.24025974,0.220640569,0.286644951,0.266903914,7,0,62,0.553548865,116,388,7,41,48,0,0.074742268,0.257731958,0.247126436,0.317010309,0.367816091,8,0,86,0.6848264
Lourdes Gurriel Jr.,3,42,14,0,0,2024,ARI,ARI,30,7.8,6,613,1,145,592,24,65,82,5,0.055743243,0.173986486,0.261343012,0.309121621,0.462794918,20,0,144,0.771916539,19238,666971,121,493,5,52,52,3,0.062880324,0.168356997,0.291390728,0.343495934,0.399558498,11,4,132,0.743054432,141,541,21,62,84,1,0.059149722,0.188539741,0.276,0.318518518,0.466,8,3,138,0.784518518
Adam Duvall,1,3,3,0,0,2024,ATL,BOS,35,4.5,10,922,0,92,353,21,45,58,4,0.062322946,0.31161473,0.246875,0.303116147,0.53125,0,0,79,0.834366147,10950,594807,86,315,12,39,36,0,0.066666666,0.32063492,0.212543554,0.276190476,0.400696864,2,2,61,0.67688734,146,555,38,67,113,5,0.063063063,0.313513513,0.228070175,0.281081081,0.49122807,7,0,117,0.772309151
Charlie Culberson,1,0.72,0.72,1,0,2024,ATL,ATL,35,1.1,11,586,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,2,3298,518586,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695
Andrew Velazquez,1,0.72,0.72,1,0,2024,ATL,ATL,29,0.9,6,275,1,54,94,2,12,3,13,0.106382978,0.319148936,0.172839506,0.263736263,0.283950617,1,3,14,0.54768688,14196,623205,125,349,9,37,28,17,0.042979942,0.340974212,0.195652173,0.236151603,0.304347826,3,1,63,0.540499429,28,68,1,11,6,4,0.014705882,0.338235294,0.223880597,0.235294117,0.358208955,1,1,15,0.593503072
Luke Williams,1,0.72,0.72,1,0,2024,ATL,ATL,27,-0.4,3,148,1,11,19,0,1,0,4,0,0.368421052,0.052631578,0.052631578,0.052631578,0,0,1,0.105263156,19931,663897,79,136,1,21,6,11,0.06617647,0.323529411,0.236220472,0.286764705,0.314960629,1,4,30,0.601725334,58,108,1,8,6,2,0.092592592,0.212962962,0.244897959,0.314814814,0.31632653,2,2,24,0.631141344
Kolten Wong,1,0.72,0.72,1,0,2024,BAL,LAD,33,5.5,11,1189,0,87,250,4,25,27,3,0.072,0.212,0.183035714,0.256,0.263392857,1,2,41,0.519392857,12532,543939,134,497,15,65,47,17,0.092555331,0.177062374,0.25116279,0.339393939,0.430232558,5,6,108,0.769626497,116,492,14,70,50,12,0.06300813,0.168699186,0.271910112,0.335365853,0.447191011,2,5,121,0.782556864
C.J. Cron,1,0.72,0.72,1,0,2024,BOS,LAA,34,5,10,1049,0,71,278,12,38,37,0,0.061151079,0.233812949,0.248062015,0.294964028,0.434108527,13,0,64,0.729072555,12546,543068,150,632,29,79,102,0,0.068037974,0.25949367,0.257391304,0.315372424,0.467826086,16,0,148,0.78319851,142,547,28,70,92,1,0.109689213,0.213893967,0.280851063,0.37477148,0.529787234,11,0,132,0.904558714
Roberto Perez,1,0.72,0.72,1,1,2024,BOS,SFG,35,0.4,10,516,0,5,17,0,0,1,0,0.117647058,0.352941176,0.133333333,0.235294117,0.133333333,0,0,2,0.36862745,2900,547379,21,69,2,8,8,0,0.130434782,0.36231884,0.233333333,0.333333333,0.366666666,1,0,14,0.699999999,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954
Garrett Cooper,1,1.5,1.5,0,0,2024,CHC,SDP,33,2,7,481,0,123,457,17,42,61,0,0.067833698,0.288840262,0.251184834,0.304157549,0.419431279,15,0,106,0.723588828,15279,643265,119,469,9,37,50,0,0.085287846,0.253731343,0.260869565,0.336886993,0.415458937,6,0,108,0.75234593,71,250,9,30,33,1,0.12,0.272,0.28372093,0.38,0.465116279,6,1,61,0.845116279
Cody Bellinger,3,80,26.66666667,0,0,2024,CHC,CHC,28,4.1,7,875,1,130,556,26,95,97,20,0.071942446,0.15647482,0.306613226,0.356115107,0.5250501,7,6,153,0.881165207,15998,641355,144,550,19,70,68,14,0.069090909,0.272727272,0.21031746,0.265454545,0.388888888,7,3,106,0.654343433,95,350,10,39,36,3,0.088571428,0.268571428,0.165079365,0.24,0.301587301,2,1,52,0.541587301
David Peralta,1,0.72,0.72,1,0,2024,CHC,LAD,36,2.2,10,1141,0,133,422,7,47,55,4,0.047393364,0.170616113,0.258883248,0.293838862,0.380710659,8,1,102,0.674549521,2136,444482,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875
Dominic Smith,1,0.72,0.72,1,0,2024,CHC,WSN,29,-0.2,7,600,0,153,586,12,57,46,1,0.080204778,0.155290102,0.254269449,0.325938566,0.366223908,12,1,134,0.692162474,15653,642086,58,152,0,11,17,0,0.078947368,0.243421052,0.19402985,0.276315789,0.283582089,0,0,26,0.559897878,145,493,11,43,58,2,0.064908722,0.227180527,0.244394618,0.304259634,0.363228699,13,1,109,0.667488333
Jorge Alfaro,1,0.72,0.72,1,1,2024,CHC,MIA,31,-0.1,8,496,0,18,52,1,2,4,0,0.038461538,0.288461538,0.145833333,0.211538461,0.291666666,3,0,7,0.503205127,12180,595751,82,274,7,25,40,1,0.040145985,0.357664233,0.24609375,0.284671532,0.3828125,5,0,63,0.667484032,92,311,4,22,30,8,0.035369774,0.318327974,0.244067796,0.282958199,0.342372881,8,1,72,0.62533108
Mike Moustakas,1,0.72,0.72,1,0,2024,CHW,LAA,35,-1.9,13,1427,0,112,386,12,43,48,0,0.059585492,0.246113989,0.24715909,0.292746113,0.392045454,7,0,87,0.684791567,4892,519058,78,285,7,30,25,2,0.084210526,0.263157894,0.214285714,0.294736842,0.345238095,8,0,54,0.639974937,62,206,6,21,22,0,0.08737864,0.22330097,0.207650273,0.281553398,0.371584699,6,0,38,0.653138097
Kevin Pillar,1,0.72,0.72,1,0,2024,CHW,ATL,35,0.2,11,1114,0,81,206,9,29,32,4,0.029126213,0.242718446,0.228426395,0.247572815,0.416243654,2,1,45,0.663816469,12434,607680,4,13,0,1,0,0,0.076923076,0.307692307,0.083333333,0.153846153,0.166666666,1,0,1,0.320512819,124,347,15,40,47,4,0.031700288,0.233429394,0.23076923,0.27665706,0.415384615,5,3,75,0.692041675
Brett Phillips,1,0.72,0.72,1,0,2024,CHW,LAA,30,2.1,7,393,0,40,71,3,9,6,3,0.112676056,0.507042253,0.174603174,0.267605633,0.333333333,0,1,11,0.600938966,14735,621433,83,225,5,22,15,7,0.071111111,0.417777777,0.144278606,0.21719457,0.248756218,0,0,29,0.465950788,119,292,13,50,44,14,0.113013698,0.386986301,0.205533596,0.3,0.42687747,3,3,52,0.72687747
Martin Maldonado,1,4.25,4.25,0,1,2024,CHW,HOU,37,0.5,13,1118,0,117,407,15,33,36,0,0.073710073,0.341523341,0.190607734,0.258227848,0.348066298,10,0,69,0.606294146,6887,455117,113,379,15,40,45,0,0.058047493,0.306068601,0.186046511,0.248,0.351744186,6,0,64,0.599744186,125,426,12,40,36,0,0.110328638,0.298122065,0.171581769,0.272300469,0.300268096,9,0,64,0.572568565
Rafael Ortega,1,0.74,0.74,0,0,2024,CHW,NYM,33,2.4,7,411,0,47,136,1,16,8,6,0.147058823,0.242647058,0.219298245,0.34074074,0.271929824,0,1,25,0.612670564,10323,542364,118,371,7,35,35,12,0.118598382,0.199460916,0.240506329,0.330623306,0.357594936,10,7,76,0.688218242,103,330,11,44,33,12,0.09090909,0.212121212,0.29054054,0.359756097,0.462837837,3,6,86,0.822593934
Paul DeJong,1,1.75,1.75,0,0,2024,CHW,SFG,30,1.3,7,729,0,112,400,14,41,38,4,0.0525,0.3025,0.206989247,0.2575,0.354838709,10,4,77,0.612338709,18015,657557,77,237,6,19,25,3,0.088607594,0.333333333,0.157142857,0.244725738,0.285714285,2,2,33,0.530440023,113,402,19,44,45,4,0.087064676,0.256218905,0.196629213,0.283582089,0.390449438,6,1,70,0.674031527
Tony Kemp,1,0.72,0.72,1,0,2024,CIN,OAK,32,3.6,8,734,0,124,419,5,42,27,15,0.105011933,0.095465393,0.208913649,0.303398058,0.303621169,9,4,75,0.607019227,14894,643393,147,558,7,61,46,11,0.080645161,0.123655913,0.235412474,0.307414104,0.334004024,5,1,117,0.641418128,131,397,8,54,37,8,0.130982367,0.128463476,0.278787878,0.381679389,0.418181818,2,2,92,0.799861207
Jeimer Candelario,3,45,15,0,0,2024,CIN,CHC,30,7.1,8,746,0,140,576,22,77,70,8,0.092013888,0.220486111,0.251485148,0.335652173,0.471287128,11,1,127,0.806939301,13621,600869,124,467,13,49,50,0,0.059957173,0.23340471,0.216783216,0.271948608,0.361305361,9,1,93,0.633253969,149,626,16,75,67,0,0.103833865,0.215654952,0.271095152,0.351437699,0.443447037,10,0,151,0.794884736
Austin Hedges,1,4,4,0,1,2024,CLE,TEX,31,-1.4,9,686,0,82,212,1,14,16,1,0.051886792,0.221698113,0.183783783,0.233830845,0.227027027,7,0,34,0.460857872,12976,595978,105,338,7,26,30,2,0.073964497,0.23076923,0.163265306,0.240853658,0.248299319,12,0,48,0.489152977,88,312,10,32,31,1,0.048076923,0.278846153,0.178321678,0.219672131,0.307692307,7,0,51,0.527364438
Jacob Stallings,1,2,2,0,1,2024,COL,MIA,34,1.7,8,451,0,89,276,3,22,20,0,0.097826086,0.242753623,0.190871369,0.278388278,0.286307053,9,0,46,0.564695331,13723,607732,114,384,4,25,34,0,0.075520833,0.216145833,0.222543352,0.292428198,0.291907514,15,1,77,0.584335712,112,427,8,38,53,0,0.114754098,0.199063231,0.245989304,0.334894613,0.368983957,10,0,92,0.70387857
Gio Urshela,1,1.5,1.5,0,0,2024,DET,LAA,32,4.5,8,664,0,62,228,2,22,24,3,0.043859649,0.157894736,0.29906542,0.328947368,0.373831775,9,2,64,0.702779143,10681,570482,144,551,13,61,64,1,0.074410163,0.174228675,0.285429141,0.337568058,0.429141716,21,0,143,0.766709774,116,442,14,42,49,1,0.045248868,0.246606334,0.266666666,0.300904977,0.419047619,16,0,112,0.719952596
Victor Caratini,2,12,6,0,1,2024,HOU,MIL,30,1.1,7,519,0,62,226,7,23,25,1,0.084070796,0.199115044,0.258706467,0.327433628,0.383084577,8,1,52,0.710518205,14968,605170,96,314,9,26,34,0,0.098726114,0.213375796,0.198529411,0.300319488,0.341911764,11,0,54,0.642231252,116,356,7,33,39,2,0.098314606,0.230337078,0.22683706,0.308988764,0.322683706,13,0,71,0.63167247
Adam Frazier,1,4.5,4.5,0,0,2024,KCR,BAL,32,6.4,8,962,0,141,455,13,59,60,11,0.07032967,0.149450549,0.240291262,0.3,0.395631067,4,4,99,0.695631067,15223,624428,156,602,3,61,42,11,0.07641196,0.121262458,0.238447319,0.301003344,0.310536044,15,6,129,0.611539388,155,639,5,83,43,10,0.07511737,0.10798122,0.305025996,0.367924528,0.410745233,10,5,176,0.778669761
Sandy Leon,1,0.72,0.72,1,1,2024,KCR,CLE,35,-1.9,12,554,0,22,44,0,4,4,0,0.022727272,0.454545454,0.146341463,0.186046511,0.195121951,2,0,6,0.381168462,5273,506702,34,86,0,6,4,0,0.15116279,0.313953488,0.169014084,0.297619047,0.211267605,2,0,12,0.508886652,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654
Hunter Renfroe,2,13,6.5,0,0,2024,KCR,CIN,32,4.4,8,841,0,140,548,20,60,60,0,0.08029197,0.228102189,0.232931726,0.297445255,0.41566265,15,0,116,0.713107905,15464,592669,125,522,29,62,72,1,0.074712643,0.231800766,0.255274261,0.315384615,0.491561181,11,1,121,0.806945796,144,572,31,89,96,1,0.076923076,0.227272727,0.259117082,0.314685314,0.500959692,6,2,135,0.815645006
Garrett Hampson,1,2,2,0,0,2024,KCR,MIA,29,0.8,6,517,0,98,252,3,30,23,5,0.091269841,0.265873015,0.276018099,0.34939759,0.380090497,3,0,61,0.729488087,19262,641658,90,226,2,29,15,12,0.092920353,0.278761061,0.211055276,0.286995515,0.306532663,3,2,42,0.593528178,147,494,11,69,33,17,0.066801619,0.238866396,0.233995584,0.289205702,0.379690949,6,7,106,0.668896651
