Team,Season,Age,W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
MIN,2023,25,3,6,2.454545655,1.139037526,59,0,0,27,5,1,62.1,84,12.12834324,3.609625963,0.866310231,0.659420289,0.123188405,0.217391304,101.877193,Jhoan Duran,21029,661395
LAA,2023,22,1,1,5.4,1.8,12,0,0,0,0,4,10,10,9,8.1,0.9,0.464285714,0.107142857,0.428571428,100.9565217,Ben Joyce,31461,690829
ARI,2023,21,0,0,12.6000036,2.400000687,10,0,0,1,0,0,10,14,12.6000036,9.900002832,1.800000515,0.466666666,0.166666666,0.366666666,100.6478873,Justin Martinez,24453,679885
- - -,2023,26,3,9,3.289340516,1.35533012,65,0,0,12,3,13,65.2,81,11.10152424,4.385787354,0.548223419,0.583333333,0.196428571,0.220238095,100.1686603,Jordan Hicks,19618,663855
TEX,2023,25,0,2,13.50000644,3.500001669,3,0,0,0,1,1,2,4,18.00000858,22.50001073,0,0,0.333333333,0.666666666,100,Alex Speas,21859,666208
STL,2023,28,3,4,2.45454588,1.063636548,33,0,0,14,5,2,36.2,52,12.76363858,4.172727996,0.245454588,0.407894736,0.197368421,0.394736842,99.67741935,Ryan Helsley,18138,664854
- - -,2023,35,6,5,3.085714454,1.25142864,61,0,0,6,5,14,58.1,103,15.89142944,5.554286017,0.617142891,0.47706422,0.211009174,0.311926605,99.57829457,Aroldis Chapman,10233,547973
BAL,2023,28,8,2,1.475409928,0.918032844,56,0,0,33,6,1,61,110,16.22950921,3.836065814,0.590163971,0.357142857,0.163265306,0.479591836,99.56178161,Felix Bautista,20666,642585
MIL,2023,23,1,0,1.760869821,1.173913214,32,0,0,1,1,8,30.2,39,11.44565383,5.869566069,0,0.53030303,0.212121212,0.257575757,99.52706553,Abner Uribe,25327,682842
ARI,2023,23,0,0,5.785715074,1.928571691,5,0,0,0,0,0,4.2,7,13.50000184,7.714286765,3.857143383,0.4,0.3,0.3,99.22,Carlos Vargas,22915,672841
MIL,2023,29,1,0,3.634615651,1.35576933,31,2,0,0,1,4,34.2,52,13.50000099,3.115384844,0.519230807,0.304878048,0.243902439,0.451219512,99.18287037,Trevor Megill,17722,656730
CLE,2023,25,3,9,3.220183599,1.155963343,75,0,0,44,12,0,72.2,64,7.926605782,1.981651445,0.495412861,0.550458715,0.197247706,0.252293577,99.11811024,Emmanuel Clase,21032,661403
KCR,2023,26,1,10,5.271429146,1.328571573,67,4,0,4,6,17,70,77,9.900001079,3.98571472,1.285714426,0.321052631,0.252631578,0.426315789,99.11697575,Carlos Hernandez,22713,672578
KCR,2023,25,0,0,2.25,0.25,4,0,0,0,0,0,4,8,18,0,2.25,0.2,0,0.8,99,John McMillon,27942,669111
SFG,2023,25,6,6,2.926108814,1.137931206,69,0,0,39,8,0,67.2,87,11.57143031,3.458128599,0.399014838,0.522012578,0.176100628,0.301886792,98.97237569,Camilo Doval,21992,666808
LAD,2023,24,11,4,3.764075221,1.101876721,22,22,9,0,0,0,124.1,119,8.613941371,2.316353982,0.868632743,0.476744186,0.197674418,0.325581395,98.96818664,Bobby Miller,27483,676272
- - -,2023,35,2,5,4.1186446,1.194915409,42,0,0,1,6,13,39.1,60,13.72881533,4.1186446,0.686440767,0.579545454,0.181818181,0.238636363,98.94561934,Joe Kelly,9761,523260
SEA,2023,24,4,7,2.938775739,1.265306221,52,0,0,13,3,14,49,67,12.30612341,4.040816641,0.367346967,0.589743589,0.17094017,0.239316239,98.92325581,Andres Munoz,20373,662253
TBR,2023,29,2,4,2.580882643,1.014705996,49,0,0,25,4,2,45.1,68,13.50000151,3.970588681,0.595588302,0.488888888,0.211111111,0.3,98.92286501,Pete Fairbanks,17998,664126
STL,2023,24,0,0,4.5,1,2,0,0,0,0,0,2,4,18,0,0,0,0.5,0.5,98.875,Guillermo Zuniga,19588,670871
TEX,2023,35,2,0,2.670329782,0.75824179,6,6,3,0,0,0,30.1,45,13.35164891,1.186813237,0.593406618,0.378787878,0.166666666,0.454545454,98.76068376,Jacob deGrom,10954,594798
PHI,2023,28,0,2,1.741935537,1.161290358,42,0,0,10,2,11,41.1,64,13.9354843,3.919354959,0.653225827,0.539325842,0.213483146,0.247191011,98.74770642,Jose Alvarado,17780,621237
CHW,2023,23,2,2,3.391960449,1.296482661,60,0,0,5,4,6,66.1,66,8.954775586,2.306533105,0.271356836,0.525,0.265,0.21,98.70875764,Gregory Santos,21894,666619
LAD,2023,24,4,2,1.202970388,0.965346608,68,1,0,7,1,19,67.1,48,6.415842069,1.603960517,0.400990129,0.643979057,0.12565445,0.230366492,98.62301587,Brusdar Graterol,20367,660813
CHC,2023,23,5,3,4.447059622,1.270588463,27,0,0,0,1,2,28.1,33,10.48235482,4.447059622,0.952941348,0.397058823,0.220588235,0.382352941,98.44879518,Daniel Palencia,27914,694037
- - -,2023,29,7,8,7.177216576,1.493671175,64,7,1,2,4,5,79,83,9.455698029,5.126583269,1.025316654,0.4009009,0.184684684,0.414414414,98.425,Shintaro Fujinami,31839,660261
CIN,2023,23,4,7,4.821428571,1.419642857,22,22,7,0,0,0,112,152,12.21428571,3.857142857,1.526785714,0.343859649,0.189473684,0.466666666,98.40783615,Hunter Greene,22182,668881
OAK,2023,24,0,3,3.780000144,1.200000046,10,6,2,0,0,1,33.1,38,10.26000039,4.320000165,0.540000021,0.259259259,0.222222222,0.518518518,98.36498516,Mason Miller,31757,695243
WSN,2023,28,4,4,2.818681791,0.939560597,57,0,0,10,5,19,60.2,67,9.939562106,1.928571752,1.038461713,0.434210526,0.190789473,0.375,98.34429066,Hunter Harvey,15507,640451
PHI,2023,28,3,4,4.624310367,1.14364665,69,0,0,3,3,24,60.1,65,9.69613464,3.281768647,0.895027813,0.512658227,0.132911392,0.354430379,98.33901193,Gregory Soto,19677,642397
- - -,2023,29,3,7,3.272727793,1.272727475,68,0,0,6,6,22,66,83,11.31818362,4.636364373,1.090909264,0.392405063,0.170886075,0.43670886,98.2516129,Reynaldo Lopez,16400,625643
SEA,2023,25,9,4,3.056604544,1.330189014,78,0,0,4,5,24,70.2,107,13.62736192,3.693397157,0.382075568,0.46060606,0.193939393,0.345454545,98.17327766,Matt Brash,25756,666374
HOU,2023,31,3,1,4.085526828,1.243421209,55,0,0,0,1,3,50.2,51,9.059211663,3.730263626,1.42105281,0.307142857,0.142857142,0.55,98.16756757,Ryne Stanek,15947,592773
CHC,2023,31,5,1,3.375000358,1.305555694,69,0,0,2,2,17,72,98,12.2500013,4.500000477,1.000000106,0.407185628,0.191616766,0.401197604,98.10956175,Julian Merryweather,16703,657240
CHC,2023,30,0,0,9,2,3,0,0,0,0,0,3,4,12,9,0,0.25,0.125,0.625,98.07317073,Nick Burdi,16074,595897
OAK,2023,28,4,4,4.745455533,1.581818511,50,0,0,0,2,11,55,68,11.12727504,5.890910317,0.163636398,0.460992907,0.191489361,0.34751773,98.03398058,Lucas Erceg,19360,668674
PIT,2023,27,0,3,3.857143383,1.339285897,58,0,0,2,4,27,56,58,9.321429841,3.214286152,0.64285723,0.528301886,0.182389937,0.289308176,97.9806867,Colin Holderman,22361,670059
