Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Starlin Castro","MIA",162,676,22,68,86,2,0.041420118,0.164201183,0.270440251,0.300295857,0.435534591,23,2,172,0.735830448,"Starlin Castro",4579,516770
"Jonathan Villar","BAL",162,714,24,111,73,40,0.085434173,0.246498599,0.274143302,0.338959212,0.453271028,8,9,176,0.79223024,"Jonathan Villar",10071,542340
"Whit Merrifield","KCR",162,735,16,105,74,20,0.061224489,0.171428571,0.302496328,0.348299319,0.462555066,8,10,206,0.810854385,"Whit Merrifield",11281,593160
"Marcus Semien","OAK",162,747,33,123,92,10,0.116465863,0.136546184,0.284627092,0.369477911,0.522070015,11,8,187,0.891547926,"Marcus Semien",12533,543760
"Jorge Soler","KCR",162,679,48,95,117,3,0.107511045,0.26215022,0.264855687,0.353550295,0.568760611,16,1,156,0.922310906,"Jorge Soler",14221,624585
"Paul Goldschmidt","STL",161,682,34,97,97,3,0.114369501,0.243401759,0.25963149,0.345588235,0.475711892,11,1,155,0.821300127,"Paul Goldschmidt",9218,502671
"César Hernández","PHI",161,667,14,77,71,9,0.067466266,0.149925037,0.279411764,0.332833583,0.408496732,9,2,171,0.741330315,"Cesar Hernandez",10556,514917
"Kevin Pillar","- - -",161,645,21,83,88,14,0.027906976,0.137984496,0.258592471,0.286821705,0.432078559,15,5,158,0.718900264,"Kevin Pillar",12434,607680
"Pete Alonso","NYM",161,693,53,103,120,1,0.103896103,0.264069264,0.25963149,0.357864357,0.582914572,13,0,155,0.940778929,"Pete Alonso",19251,624413
"Eric Hosmer","SDP",160,667,22,72,99,0,0.059970014,0.244377811,0.264943457,0.310344827,0.424878836,12,3,164,0.735223663,"Eric Hosmer",3516,543333
"Rhys Hoskins","PHI",160,705,29,86,85,2,0.164539007,0.24539007,0.226315789,0.364153627,0.454385964,10,2,129,0.818539591,"Rhys Hoskins",16472,656555
"Ozzie Albies","ATL",160,702,24,102,86,15,0.076923076,0.159544159,0.2953125,0.351851851,0.5,2,4,189,0.851851851,"Ozzie Albies",16556,645277
"Eugenio Suárez","CIN",159,662,49,87,103,3,0.105740181,0.285498489,0.271304347,0.358006042,0.572173913,12,2,156,0.930179955,"Eugenio Suarez",12552,553993
"José Abreu","CHW",159,693,33,85,123,2,0.051948051,0.219336219,0.283911671,0.33044733,0.503154574,24,2,180,0.833601904,"Jose Abreu",15676,547989
"Paul DeJong","STL",159,664,30,97,78,9,0.093373493,0.22439759,0.233276157,0.317771084,0.444253859,15,5,136,0.762024943,"Paul DeJong",18015,657557
"Carlos Santana","CLE",158,686,34,110,93,4,0.157434402,0.157434402,0.280977312,0.396501457,0.514834205,13,0,161,0.911335662,"Carlos Santana",2396,467793
"Freddie Freeman","ATL",158,692,38,113,121,6,0.125722543,0.183526011,0.29480737,0.388728323,0.549413735,17,3,176,0.938142058,"Freddie Freeman",5361,518692
