Name ,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
Marcus Semien,TEX,162,753,29,122,100,14,0.095617529,0.146082337,0.276119402,0.348404255,0.47761194,5,3,185,0.826016195,Marcus Semien,12533,543760
Eugenio Suárez,SEA,162,694,22,68,96,2,0.100864553,0.308357348,0.232441471,0.32276657,0.391304347,10,1,139,0.714070917,Eugenio Suarez,12552,553993
Matt Olson,ATL,162,720,54,127,139,1,0.144444444,0.231944444,0.282894736,0.388888888,0.603618421,13,0,172,0.992507309,Matt Olson,14344,621566
Juan Soto,SDP,162,708,35,97,109,12,0.186440677,0.182203389,0.274647887,0.410183875,0.519366197,18,5,156,0.929550072,Juan Soto,20123,665742
Freddie Freeman,LAD,161,730,29,131,102,23,0.098630136,0.165753424,0.331240188,0.409589041,0.566718995,14,1,211,0.976308036,Freddie Freeman,5361,518692
Alex Bregman,HOU,161,724,25,103,98,3,0.127071823,0.120165745,0.262057877,0.363259668,0.440514469,22,1,163,0.803774137,Alex Bregman,17678,608324
Nathaniel Lowe,TEX,161,724,17,89,82,1,0.128453038,0.227900552,0.261637239,0.360497237,0.4141252,22,0,163,0.774622437,Nathaniel Lowe,19566,663993
Francisco Lindor,NYM,160,687,31,108,98,31,0.096069868,0.199417758,0.254152823,0.336244541,0.470099667,8,4,153,0.806344208,Francisco Lindor,12916,596019
Teoscar Hernández,SEA,160,678,26,70,93,7,0.056047197,0.311209439,0.2576,0.305309734,0.4352,6,2,161,0.740509734,Teoscar Hernandez,13066,606192
Kyle Schwarber,PHI,160,720,47,108,104,0,0.175,0.298611111,0.196581196,0.343055555,0.473504273,4,2,115,0.816559828,Kyle Schwarber,16478,656941
Austin Riley,ATL,159,715,37,117,97,3,0.082517482,0.24055944,0.28144654,0.345454545,0.51572327,18,1,179,0.861177815,Austin Riley,18360,663586
Ronald Acuña Jr.,ATL,159,735,41,149,106,73,0.108843537,0.114285714,0.337480559,0.41632653,0.595645412,15,14,217,1.011971942,Ronald Acuna Jr.,18401,660670
Spencer Torkelson,DET,159,684,31,88,94,3,0.097953216,0.25,0.232673267,0.312865497,0.445544554,15,0,141,0.758410051,Spencer Torkelson,27465,679529
Anthony Volpe,NYY,159,601,21,62,60,24,0.086522462,0.277870216,0.208872458,0.283333333,0.382624768,10,5,113,0.665958101,Anthony Volpe,27647,683011
Gleyber Torres,NYY,158,672,25,90,68,13,0.09970238,0.145833333,0.273489932,0.34672619,0.453020134,19,6,163,0.799746324,Gleyber Torres,16997,650402
Ian Happ,CHC,158,691,21,86,84,14,0.143270622,0.221418234,0.248275862,0.360347322,0.431034482,12,3,144,0.791381804,Ian Happ,17919,664023
Ty France,SEA,158,665,12,79,58,1,0.064661654,0.175939849,0.250425894,0.336842105,0.366269165,25,0,147,0.70311127,Ty France,17982,664034
Daulton Varsho,TOR,158,581,20,65,61,16,0.077452667,0.232358003,0.220113851,0.284974093,0.388994307,5,7,116,0.6739684,Daulton Varsho,19918,662139
Steven Kwan,CLE,158,718,5,93,54,21,0.097493036,0.104456824,0.268025078,0.340306834,0.369905956,9,3,171,0.71021279,Steven Kwan,24610,680757
Bobby Witt Jr.,KCR,158,694,30,97,96,49,0.057636887,0.174351585,0.276131045,0.318903318,0.494539781,11,15,177,0.813443099,Bobby Witt Jr.,25764,677951
Nick Castellanos,PHI,157,671,29,79,106,11,0.053651266,0.275707898,0.271565495,0.311475409,0.476038338,17,2,170,0.787513747,Nick Castellanos,11737,592206
Christian Walker,ARI,157,661,33,86,103,11,0.093797276,0.192133131,0.257731958,0.333333333,0.496563573,13,0,150,0.829896906,Christian Walker,13419,572233
Lane Thomas,WSN,157,682,28,101,86,20,0.052785923,0.258064516,0.267515923,0.315249266,0.468152866,5,5,168,0.783402132,Lane Thomas,16939,657041
Kyle Tucker,HOU,157,674,29,97,112,30,0.118694362,0.136498516,0.283972125,0.368815592,0.517421602,11,5,163,0.886237194,Kyle Tucker,18345,663656
José Ramírez,CLE,156,691,24,87,80,28,0.105643994,0.105643994,0.281505728,0.356005788,0.474631751,8,6,172,0.830637539,Jose Ramirez,13510,608070
Jeff McNeil,NYM,156,648,10,75,55,10,0.060185185,0.100308641,0.27008547,0.333333333,0.377777777,5,0,158,0.71111111,Jeff McNeil,15362,643446
Vladimir Guerrero Jr.,TOR,156,682,26,78,94,5,0.098240469,0.146627565,0.264119601,0.34457478,0.443521594,23,3,159,0.788096374,Vladimir Guerrero Jr.,19611,665489
Spencer Steer,CIN,156,665,23,74,86,15,0.102255639,0.209022556,0.271477663,0.356390977,0.463917525,9,3,158,0.820308502,Spencer Steer,26323,668715
Xander Bogaerts,SDP,155,665,19,83,58,19,0.084210526,0.165413533,0.285234899,0.350375939,0.439597315,21,2,170,0.789973254,Xander Bogaerts,12161,593428
Trea Turner,PHI,155,691,26,102,76,30,0.06512301,0.2170767,0.266040688,0.319826338,0.458528951,12,0,170,0.778355289,Trea Turner,16252,607208
Julio Rodríguez,SEA,155,714,32,102,103,37,0.06582633,0.245098039,0.275229357,0.333333333,0.48470948,14,10,180,0.818042813,Julio Rodriguez,23697,677594
Corbin Carroll,ARI,155,645,25,116,76,54,0.088372093,0.193798449,0.284955752,0.361502347,0.50619469,7,5,161,0.867697037,Corbin Carroll,25878,682998
Paul Goldschmidt,STL,154,687,25,89,80,11,0.126637554,0.234352256,0.268128161,0.36297376,0.446880269,12,2,159,0.809854029,Paul Goldschmidt,9218,502671
George Springer,TOR,154,683,21,87,72,20,0.08784773,0.183016105,0.257748776,0.327459618,0.404567699,20,5,158,0.732027317,George Springer,12856,543807
Joey Meneses,WSN,154,657,13,71,89,0,0.05783866,0.197869101,0.274959083,0.321156773,0.400981996,15,0,168,0.722138769,Joey Meneses,14366,608841
Pete Alonso,NYM,154,658,46,92,118,4,0.098784194,0.229483282,0.216549295,0.317629179,0.503521126,17,1,123,0.821150305,Pete Alonso,19251,624413
Adley Rutschman,BAL,154,687,20,84,80,1,0.133915574,0.147016011,0.277210884,0.374090247,0.435374149,14,2,163,0.809464396,Adley Rutschman,26288,668939
Anthony Santander,BAL,153,656,28,81,95,5,0.083841463,0.231707317,0.257191201,0.324695121,0.472081218,11,1,152,0.796776339,Anthony Santander,14551,623993
Dominic Smith,WSN,153,586,12,57,46,1,0.080204778,0.155290102,0.254269449,0.325938566,0.366223908,12,1,134,0.692162474,Dominic Smith,15653,642086
Rafael Devers,BOS,153,656,33,90,100,5,0.094512195,0.19207317,0.270689655,0.350609756,0.5,15,1,157,0.850609756,Rafael Devers,17350,646240
Trent Grisham,SDP,153,555,13,67,50,15,0.135135135,0.277477477,0.198294243,0.314545454,0.351812366,7,3,93,0.66635782,Trent Grisham,18564,663757
Bryan De La Cruz,MIA,153,626,19,60,78,4,0.063897763,0.22683706,0.257340241,0.304,0.41105354,18,1,149,0.71505354,Bryan De La Cruz,19600,650559
Andrés Giménez,CLE,153,616,15,76,62,30,0.051948051,0.181818181,0.251346499,0.31372549,0.398563734,10,6,140,0.712289224,Andres Gimenez,19950,665926
Ezequiel Tovar,COL,153,615,15,79,73,11,0.040650406,0.269918699,0.253012048,0.287112561,0.407917383,10,5,147,0.695029944,Ezequiel Tovar,24064,678662
