Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,BABIP_2,wOBA_2,wRC+_2,Off_2,Def_2,BsR_2,WAR_2,wRAA_2,UBR_2,WPA_2,Clutch_2,Barrel%_2,HardHit%_2,xBA_2,xSLG_2
Rhys Hoskins,17,FALSE,2024,31,FALSE,0,0,0,0,0,0,0,0,0,0,0,16472,156,672,30,81,79,0.246,0.332,0.462,12,145,0.794,0,66.66666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.291878172,0.34517194,122.3280173,14.83436291,-15.31912756,-2.598382966,2.366254877,18.91261787,-2.599999808,1.471185684,-0.3520389,0.11058824,0.44235294,0.239,0.445
Steven Souza Jr.,1.187629677,FALSE,2020,31,FALSE,72,272,5,21,29,0.22,0.309,0.369,4,53,0.678,5667,72,272,5,21,29,0.22,0.309,0.369,4,53,0.678,85.71428571,85.71428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.298136645,0.299453215,84.44237354,-5.02057247,-4.698701262,0.145992175,-0.142697261,-3.380755725,0.400000006,-0.633888245,-0.0346934,0.07831325,0.39759036,0.233,0.388
Carlos Santana,6.686212413,FALSE,2023,37,FALSE,131,506,19,52,60,0.201856148,0.316205533,0.375870069,9,87,0.692075602,2396,158,659,19,66,69,0.214159292,0.318664643,0.34159292,12,121,0.660257563,0,100,0.208588957,0.307997842,101.1481677,-0.092556162,-8.174540862,-0.746323425,0.804335204,-0.701372112,0.800000012,1.211772949,2.027136758,0.09275362,0.44927536,0.253,0.438,0.227171492,0.293909505,80.97236105,-18.48813406,-11.64040056,-3.135872069,-0.745563517,-11.18670463,-0.899999976,-0.761366725,0.251386711,0.06837607,0.41880342,0.244,0.421
Jesus Aguilar,2.982696987,FALSE,2023,33,FALSE,129,507,16,39,51,0.234913793,0.281437125,0.379310344,8,109,0.660747469,11342,131,510,22,49,93,0.260579064,0.328712871,0.458797327,11,117,0.787510198,100,0,0.278443113,0.288003968,83.71657712,-13.02613456,-10.61084099,-3.519361685,-0.673028184,-8.770012709,-3.399999976,0.800796278,1.794146705,0.06741573,0.35393258,0.24,0.393,0.278592375,0.333754801,107.4243374,3.050754301,-7.140577674,-1.769557377,1.303535624,8.155844894,-2.5,1.480640769,0.920147889,0.08423913,0.4048913,0.26,0.453
Alex Gordon,4.750518708,FALSE,2020,36,TRUE,150,633,13,77,76,0.26618705,0.344936708,0.395683453,13,148,0.740620161,5209,141,568,13,56,54,0.245059288,0.323943661,0.369565217,7,124,0.693508878,62.5,85.71428571,0.300668151,0.318691191,95.44524545,-6.557894379,-9.327791691,-2.872935317,0.686170081,-0.681700044,-0.100000024,1.293246388,1.776894395,0.05399568,0.38444924,0.255,0.422,0.299191374,0.304564984,88.69310116,-7.459519011,1.564928532,0.218081262,1.392245721,-4.691195139,-2.299999952,-0.901195824,-0.07439835,0.0625,0.39322917,0.253,0.423
Brandon Drury,8.450974797,FALSE,2023,30,FALSE,138,568,28,87,87,0.262548262,0.320422535,0.492277992,8,136,0.812700527,11615,51,88,4,7,14,0.273809523,0.306818181,0.476190476,3,23,0.783008657,40,0,0.29347826,0.349555092,124.0694474,13.11106337,-2.183490985,-2.772971112,3.190425496,17.96351786,-3.199999958,2.803976178,1.725959915,0.10353535,0.41666667,0.242,0.42,0.327586206,0.333388224,112.0276896,1.387666318,-0.986993194,0.040217962,0.335865201,1.38059283,-0.300000012,-0.517265975,-0.587740474,0.06451613,0.46774194,0.206,0.348
Welington Castillo,8.874821543,TRUE,2018,31,FALSE,96,365,20,44,53,0.281524926,0.323287671,0.48973607,10,96,0.813023741,3256,113,457,14,41,68,0.264423076,0.321663019,0.423076923,5,110,0.744739942,0,100,0.336283185,0.343509329,112.4982946,3.59470429,3.53890729,-2.03374148,1.909664047,6.96785691,-1.299999893,1.715702295,1.700032439,0.08130081,0.42276423,0.268,0.493,0.336842105,0.319087639,91.3864816,-7.252066896,6.542895794,-2.404056528,1.412154395,0.364860528,-5.100000024,0.63473165,0.377782417,0.05351171,0.37458194,0.234,0.388
Daniel Descalso,2.971833187,FALSE,2019,32,FALSE,138,423,13,54,57,0.237822349,0.353080568,0.435530085,2,83,0.788610653,8392,131,398,10,47,51,0.232558139,0.331658291,0.395348837,6,80,0.727007128,0,100,0.300429184,0.340581744,111.9231543,5.902440802,-11.8306762,-0.255296494,0.723754201,8.934932786,1.500000119,3.083076,1.688645004,0.08502024,0.34412955,0.229,0.394,0.283400809,0.317550505,87.75800556,-4.798039876,-7.632764459,1.464236644,0.124748027,-1.120843162,-0.200000003,0.823722005,1.536725151,0.02723735,0.307393,0.222,0.378
AJ Pollock,6.959626303,FALSE,2023,35,FALSE,138,527,14,61,56,0.245398773,0.292220113,0.388548057,13,120,0.68076817,9256,117,422,21,53,69,0.296875,0.355450236,0.536458333,4,114,0.891908569,75,90,0.278215223,0.29736662,91.90574033,-7.160370815,-4.501574874,-2.360217697,0.517294285,-5.182786252,-0.900000036,0.384076238,1.676919334,0.09367089,0.42025316,0.258,0.419,0.326315789,0.374842456,136.8626291,20.71919312,-3.451706052,0.915508479,3.149458952,21.09446307,-1,-0.054240864,-1.756749795,0.11111111,0.47058824,0.282,0.499
Jose Iglesias,3.562889031,FALSE,2020,30,FALSE,146,530,11,62,59,0.287698412,0.31758034,0.406746031,17,145,0.724326371,10231,125,464,5,43,48,0.268518518,0.310195227,0.388888888,11,116,0.699084115,50,71.42857143,0.315294117,0.306124231,81.61833579,-14.18008894,16.07669258,-1.32644215,1.827286372,-6.328178856,1.700000048,0.614532411,1.656846747,0.02059497,0.23340961,0.264,0.36,0.290575916,0.303992896,88.61834609,-4.758284383,3.826890588,1.555024108,1.537134258,-4.048793211,0.799999997,-0.783493996,0.238223879,0.01282051,0.22307692,0.249,0.334
Adam Frazier,4.5,FALSE,2024,32,FALSE,141,455,13,59,60,0.240291262,0.3,0.395631067,4,99,0.695631067,15223,156,602,3,61,42,0.238447319,0.301003344,0.310536044,15,129,0.611539388,73.33333333,64.70588235,0.258258258,0.302405975,92.95081706,-2.420027611,-8.913451076,1.423081871,0.424171053,-6.034255312,1.100000143,1.276737213,1.618833026,0.03133903,0.22792023,0.261,0.361,0.267515923,0.273623926,80.42242558,-11.92488183,4.050753944,1.33753636,1.162879391,-17.27533505,1.700000048,-2.650528908,-0.262531133,0.01464435,0.23849372,0.262,0.339
Jed Lowrie,0.932562632,FALSE,2022,38,TRUE,139,512,14,55,69,0.245076586,0.318359375,0.398249452,8,112,0.716608827,4418,9,8,0,0,0,0,0.125,0,0,0,0.125,0,0,0.289085545,0.311227975,101.2533272,-0.992541817,-7.793483496,-1.778205125,0.886959352,-1.354931175,-1.900000036,1.816646457,1.608357401,0.09348442,0.45892351,0.259,0.464,0,0.086286813,-51.22119568,-1.719224286,0,-0.123094073,-0.142183255,-1.615759631,-0.100000001,-0.113673985,-0.041981122,0,0,0.083,0.096
Jesse Winker,1.5,FALSE,2024,30,FALSE,61,197,1,16,23,0.19879518,0.319796954,0.246987951,0,33,0.566784905,13590,136,547,14,51,53,0.219298245,0.34369287,0.344298245,8,100,0.687991115,0,0,0.278260869,0.269283669,65.42951908,-9.569775128,-5.214628643,-1.132735183,-0.809133482,-8.031756442,-2.400000095,1.06349206,1.586788431,0.04310345,0.31896552,0.204,0.296,0.251461988,0.312692641,108.0041183,1.447022268,-13.37398291,-3.479814426,0.555569482,1.280548448,-4.499999881,-0.198608622,-0.392404712,0.0758427,0.34269663,0.249,0.403
Jorge Soler,14,FALSE,2024,32,FALSE,137,580,36,77,75,0.25,0.34137931,0.511904761,20,126,0.853284071,14221,72,306,13,32,34,0.207407407,0.295081967,0.4,9,56,0.695081967,100,0,0.271903323,0.36067215,126.4722196,16.18634337,-16.63591337,-2.834808283,1.91342173,20.37438257,-0.700000048,3.033890963,1.543474363,0.14986376,0.47956403,0.262,0.532,0.25595238,0.304847701,94.8329848,-3.104641526,-3.195817232,-1.267648399,0.439142811,-1.190727605,0.600000024,-1.808328867,-1.314408013,0.12087912,0.43406593,0.226,0.421
Freddy Galvis,5.943666375,FALSE,2019,29,FALSE,162,656,13,62,67,0.247508305,0.299236641,0.380398671,8,149,0.679635312,6609,162,663,12,71,61,0.25493421,0.308623298,0.381578947,12,155,0.690202245,57.14285714,73.68421053,0.303571428,0.294028652,84.88730895,-11.43499382,12.31715059,0.66918322,2.159617086,-11.05656807,-0.300000072,0.68072927,1.534266416,0.03246753,0.28138528,0.218,0.341,0.292433537,0.297683866,79.34418212,-17.131176,11.61288929,0.470455113,1.719547604,-12.98240594,-0.399999976,-1.637517929,-1.099971751,0.02385686,0.23459245,0.242,0.36
Howie Kendrick,12.31297408,FALSE,2016,32,TRUE,117,495,9,64,54,0.29525862,0.336032388,0.409482758,17,137,0.745515146,4229,157,674,7,85,75,0.293354943,0.347242921,0.397082658,15,181,0.744325579,75,73.68421053,0.342245989,0.325180132,109.0433006,7.172966868,-0.128802419,1.956974061,2.370694836,4.734692863,3.799999952,1.819249988,1.515228591,0.03385417,0.4140625,0.285,0.411,0.346613545,0.327539188,114.4396461,11.63370933,9.478205681,0.936023281,4.64144398,9.08710912,1.100000054,2.222206116,0.530944557,,,,
Joc Pederson,12.5,FALSE,2024,32,FALSE,121,425,15,59,51,0.234636871,0.348235294,0.416201117,12,84,0.764436411,11899,134,433,23,57,70,0.27368421,0.353348729,0.521052631,5,104,0.87440136,0,60,0.26848249,0.330896612,110.7119206,5.717412813,-12.0716989,0.077469553,0.8012923,4.4197939,1.200000048,1.72559762,1.46890605,0.11764706,0.52205882,0.264,0.481,0.310344827,0.373204232,145.7769753,23.00710594,-14.96547794,-0.022226851,2.401822978,21.82911016,0.5,2.631910563,0.521646075,0.15140845,0.52112676,0.266,0.502
Ichiro Suzuki,0.887482154,FALSE,2018,44,FALSE,136,215,3,19,20,0.25510204,0.317757009,0.331632653,2,50,0.649389662,1101,143,365,1,48,22,0.290519877,0.35359116,0.376146788,4,95,0.729737948,50,83.33333333,0.297468354,0.286791605,76.89528741,-6.803246605,-3.307545304,-0.418612386,-0.270569014,-6.186216391,-0.300000012,0.381426007,1.442325422,0.00617284,0.11728395,0.225,0.293,0.328671328,0.320463371,102.3068339,2.409255506,1.25526619,1.372262201,1.560554181,0.705757405,-0.300000012,0.638067961,0.825642651,0.00689655,0.2,0.264,0.331
Rougned Odor,0.795385863,FALSE,2023,29,FALSE,135,472,13,49,53,0.206572769,0.275423728,0.356807511,9,88,0.632231239,12282,102,361,15,42,39,0.201863354,0.286111111,0.378881987,3,65,0.664993098,85.71428571,0,0.243506493,0.278355386,81.78221456,-8.889316545,-2.78778851,0.786885425,0.333925397,-11.77060643,0.699999988,0.400768489,1.423009882,0.06542056,0.33333333,0.207,0.339,0.241545893,0.289485504,84.05466909,-6.534022751,7.363800883,0.513602374,1.329770816,-7.44944951,1.299999952,-0.962301075,-0.186256999,0.0896861,0.37219731,0.202,0.374
Adeiny Hechavarria,1.187629677,FALSE,2020,31,TRUE,84,221,9,34,33,0.24137931,0.298642533,0.443349753,3,49,0.741992286,10459,94,321,6,34,31,0.246621621,0.278996865,0.344594594,7,73,0.623591459,75,100,0.272108843,0.311701257,93.7806574,-0.614059614,-1.077247322,1.199377161,0.520857853,-1.573324358,0.200000018,1.713733658,1.361080256,0.04487179,0.29487179,0.224,0.385,0.280334728,0.26754615,68.37198411,-12.38029964,4.429539323,-0.210432737,0.294097683,-12.33378242,0.100000046,-1.213156402,0.166728459,0.01619433,0.32793522,0.247,0.344
Alcides Escobar,2.958273847,FALSE,2018,31,TRUE,162,629,6,71,54,0.250417362,0.27170418,0.357262103,14,150,0.628966283,6310,162,682,7,57,55,0.260596546,0.291666666,0.350078492,16,166,0.641745158,36.36363636,80.95238095,0.29090909,0.268739522,61.2013002,-29.82802428,13.88973331,0.282109214,0.481112756,-27.6803678,5.599999994,-1.360399723,1.348810186,0.01968504,0.20866142,0.253,0.355,0.294990723,0.277725021,68.95604308,-23.56564766,12.81943369,1.854337801,1.266225387,-22.73272176,-1.399999976,-2.304902554,-0.054129636,0.01258993,0.17446043,0.244,0.322
Cameron Maybin,3.845756002,FALSE,2018,31,FALSE,114,450,10,63,35,0.227848101,0.318485523,0.364556962,12,90,0.683042485,5223,94,391,4,65,43,0.315186246,0.383033419,0.418338108,8,110,0.801371527,80.48780488,71.42857143,0.273972602,0.300196853,87.09623439,-1.432833008,0.570421338,5.731468308,1.393225591,-7.873808766,2.899999902,0.876215681,1.337504756,0.0330033,0.32673267,0.233,0.349,0.38267148,0.351526277,120.7894252,12.5011099,-6.816157579,2.741485808,1.93739084,10.77810282,2.200000092,2.295886517,0.717441601,0.02826855,0.3180212,0.264,0.358
Austin Romine,4.92866316,TRUE,2020,31,FALSE,73,240,8,29,35,0.280701754,0.30962343,0.438596491,7,64,0.748219921,5491,77,265,10,30,42,0.243801652,0.295454545,0.417355371,10,59,0.712809916,50,100,0.32748538,0.31498713,95.59804209,-2.105406332,3.45780319,-0.755134815,0.976515751,-1.026904398,-0.799999952,0.820797622,1.329981637,0.06666667,0.40555556,0.258,0.427,0.291666666,0.306744595,92.2956537,-3.049592025,13.42913532,-0.608886836,2.001110173,-1.717479081,-1.100000024,-0.265967786,-0.198553829,0.05027933,0.37988827,0.229,0.367
