Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
José Fernández,MIA,2016,2.301953483,6.34903574,2.562619449,3.4914639,2.807851034,0.02836879,0.35224586,3,89.13120574,Jose Fernandez,11530,605228
Clayton Kershaw,LAD,2016,1.797567094,6.348031998,2.284504538,4.641134262,2.413328446,0.04456825,0.27576602,2.05,86.89080811,Clayton Kershaw,2036,477132
Noah Syndergaard,NYM,2016,2.286306395,6.01612293,2.668503606,2.712916426,2.95299839,0.02910603,0.31808732,2.78,87.59485431,Noah Syndergaard,11762,592789
Max Scherzer,WSN,2016,3.238531188,5.629554272,3.370164158,4.231110096,3.045684664,0.0557554,0.29136691,2.78,87.18088253,Max Scherzer,3137,453286
Justin Verlander,DET,2016,3.484774138,5.366349697,3.783633013,3.946713924,3.417700743,0.07020548,0.32876712,3.12,87.91101672,Justin Verlander,8700,434378
Chris Sale,CHW,2016,3.459795691,5.298168659,3.579316444,2.507920027,3.432276699,0.04901961,0.31535948,3.61,88.61300272,Chris Sale,10603,519242
Rick Porcello,BOS,2016,3.397681459,5.112099648,3.894263449,2.178953886,3.779484259,0.0625,0.34908537,3.8,88.35879517,Rick Porcello,2717,519144
Jose Quintana,CHW,2016,3.560021891,4.910183907,4.034799609,2.633306026,4.009965475,0.04152824,0.33887043,3.59,88.15684186,Jose Quintana,11423,500779
Corey Kluber,CLE,2016,3.25818829,4.901618958,3.500592716,2.266286135,3.501632833,0.05799649,0.30404218,3.31,86.70538725,Corey Kluber,2429,446372
Johnny Cueto,SFG,2016,2.955361601,4.890794754,3.417320314,4.709387779,3.588880962,0.04444444,0.32857143,3.53,87.78658725,Johnny Cueto,6893,456501
Masahiro Tanaka,NYY,2016,3.512169722,4.68273735,3.61469328,2.892936468,3.787396516,0.03826955,0.36106489,3.59,88.92066995,Masahiro Tanaka,15764,547888
David Price,BOS,2016,3.603082122,4.399136543,3.515096756,0.531496048,3.596240472,0.05105105,0.33333333,3.72,87.80987783,David Price,3184,456034
Madison Bumgarner,SFG,2016,3.243619204,4.297791958,3.538064704,2.936854124,3.3590711,0.06176962,0.31051753,3.24,88.4914363,Madison Bumgarner,5524,518516
Jon Lester,CHC,2016,3.408073514,4.234307766,3.474603089,5.06615591,3.611391343,0.03696858,0.29205176,3.07,87.41169438,Jon Lester,4930,452657
Kyle Hendricks,CHC,2016,3.204455124,4.166562611,3.589516841,4.335951939,3.701385441,0.03059273,0.26003824,2.78,86.55087779,Kyle Hendricks,12049,543294
Stephen Strasburg,WSN,2016,2.923084093,3.963070154,3.20422611,1.170824051,3.183070164,0.05420054,0.33604336,3,87.64978095,Stephen Strasburg,10131,544931
Rich Hill,- - -,2016,2.394294487,3.900781274,3.357122969,2.658180118,3.28658592,0.02230483,0.31598513,2.78,87.08053659,Rich Hill,4806,448179
James Paxton,SEA,2016,2.799452945,3.560063839,3.346693293,0.099736087,3.541032372,0.03523035,0.40921409,3.26,90.39523566,James Paxton,11828,572020
Jon Gray,COL,2016,3.604893758,3.553325176,3.609951528,0.294737875,3.716687235,0.05263158,0.34210526,4.05,88.1744284,Jon Gray,14916,592351
Matt Shoemaker,LAA,2016,3.515310418,3.53347373,3.864151263,0.930942178,3.866127631,0.06557377,0.35040984,4.43,87.77320024,Matt Shoemaker,4776,533167
Ervin Santana,MIN,2016,3.808325163,3.499195576,4.209770116,1.467808008,4.289929933,0.05719557,0.31734317,4.13,88.31884671,Ervin Santana,3200,429722
Aaron Sanchez,TOR,2016,3.547602018,3.497579098,3.746477546,3.284912109,4.005031157,0.05525847,0.39572193,4.13,89.97277612,Aaron Sanchez,11490,592717
